Name: Gunyah Drive, Instruction: Head north on Gunyah Drive, Distance: 7.6 meters, Time: 5.5 seconds
Name: Bradley Street, Instruction: Turn right onto Bradley Street, Distance: 43.5 meters, Time: 31.4 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 39.6 meters, Time: 28.5 seconds
Name: -, Instruction: Turn right, Distance: 145.3 meters, Time: 104.6 seconds
Name: -, Instruction: Turn slight left, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Keep right, Distance: 14.2 meters, Time: 10.3 seconds
Name: -, Instruction: Turn slight right, Distance: 63.4 meters, Time: 45.7 seconds
Name: -, Instruction: Turn left, Distance: 219.0 meters, Time: 157.7 seconds
Name: -, Instruction: Turn slight right, Distance: 194.9 meters, Time: 140.4 seconds
Name: -, Instruction: Turn left, Distance: 541.9 meters, Time: 390.2 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: Bluestone Drive, Instruction: Turn right onto Bluestone Drive, Distance: 30.8 meters, Time: 22.2 seconds
Name: -, Instruction: Turn left, Distance: 44.1 meters, Time: 31.8 seconds
Name: Dillwynia Trail, Instruction: Turn right onto Dillwynia Trail, Distance: 306.8 meters, Time: 220.9 seconds
Name: -, Instruction: Turn left, Distance: 166.5 meters, Time: 119.9 seconds
Name: -, Instruction: Keep left, Distance: 82.2 meters, Time: 59.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
