Name: شارع عبد الرحمن الرفاعى, Instruction: Head southwest on شارع عبد الرحمن الرفاعى, Distance: 119.8 meters, Time: 86.3 seconds
Name: شارع محمود احمد المليجى, Instruction: Turn right onto شارع محمود احمد المليجى, Distance: 166.5 meters, Time: 119.9 seconds
Name: شارع الفريق اول محمد رشاد حسن, Instruction: Turn left onto شارع الفريق اول محمد رشاد حسن, Distance: 162.5 meters, Time: 117.0 seconds
Name: شارع على امين ماهر, Instruction: Turn right onto شارع على امين ماهر, Distance: 72.4 meters, Time: 52.2 seconds
Name: شارع عبد الحميد بدوى, Instruction: Turn left onto شارع عبد الحميد بدوى, Distance: 46.2 meters, Time: 33.3 seconds
Name: -, Instruction: Turn left, Distance: 87.1 meters, Time: 62.7 seconds
Name: شارع عبد الحميد بدوى, Instruction: Turn left onto شارع عبد الحميد بدوى, Distance: 166.9 meters, Time: 120.2 seconds
Name: -, Instruction: Turn left, Distance: 190.5 meters, Time: 137.2 seconds
Name: -, Instruction: Keep left, Distance: 28.8 meters, Time: 20.8 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 185.4 meters, Time: 133.5 seconds
Name: -, Instruction: Keep left, Distance: 58.4 meters, Time: 42.1 seconds
Name: -, Instruction: Turn right, Distance: 122.4 meters, Time: 88.2 seconds
Name: -, Instruction: Turn slight left, Distance: 52.0 meters, Time: 37.4 seconds
Name: -, Instruction: Turn left, Distance: 93.7 meters, Time: 67.5 seconds
Name: شارع جسر السويس, Instruction: Turn slight left onto شارع جسر السويس, Distance: 98.4 meters, Time: 70.9 seconds
Name: -, Instruction: Turn right, Distance: 17.9 meters, Time: 12.9 seconds
Name: شارع جسر السويس, Instruction: Turn left onto شارع جسر السويس, Distance: 127.6 meters, Time: 91.9 seconds
Name: شارع جول جمال, Instruction: Turn right onto شارع جول جمال, Distance: 322.6 meters, Time: 232.2 seconds
Name: شارع محمد عزت طموم, Instruction: Turn right onto شارع محمد عزت طموم, Distance: 43.9 meters, Time: 31.6 seconds
Name: -, Instruction: Arrive at شارع محمد عزت طموم, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
