Name: Civic Road, Instruction: Head north on Civic Road, Distance: 51.2 meters, Time: 36.9 seconds
Name: -, Instruction: Turn right, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn left, Distance: 23.0 meters, Time: 16.6 seconds
Name: -, Instruction: Turn right, Distance: 57.2 meters, Time: 41.2 seconds
Name: -, Instruction: Turn left, Distance: 76.8 meters, Time: 55.3 seconds
Name: -, Instruction: Turn right, Distance: 71.3 meters, Time: 51.3 seconds
Name: Snaresbrook Road, Instruction: Turn left onto Snaresbrook Road, Distance: 49.0 meters, Time: 35.3 seconds
Name: Loughton Avenue, Instruction: Turn right onto Loughton Avenue, Distance: 58.2 meters, Time: 41.9 seconds
Name: Loughton Avenue, Instruction: Keep right onto Loughton Avenue, Distance: 155.9 meters, Time: 112.2 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Keep right, Distance: 34.5 meters, Time: 24.9 seconds
Name: -, Instruction: Keep right, Distance: 29.8 meters, Time: 21.4 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Keep left, Distance: 106.2 meters, Time: 76.5 seconds
Name: 8th Street, Instruction: Turn left onto 8th Street, Distance: 221.2 meters, Time: 159.2 seconds
Name: -, Instruction: Arrive at 8th Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
