Name: Boulevard Soult, Instruction: Head northeast on Boulevard Soult, Distance: 105.2 meters, Time: 75.8 seconds
Name: Rue Changarnier, Instruction: Turn right onto Rue Changarnier, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 145.2 meters, Time: 104.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 57.4 meters, Time: 41.3 seconds
Name: -, Instruction: Turn right, Distance: 33.3 meters, Time: 24.0 seconds
Name: -, Instruction: Turn left, Distance: 50.2 meters, Time: 36.2 seconds
Name: -, Instruction: Turn right, Distance: 16.5 meters, Time: 11.9 seconds
Name: Cours de Vincennes, Instruction: Turn left onto Cours de Vincennes, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 56.9 meters, Time: 40.9 seconds
Name: -, Instruction: Turn slight left, Distance: 188.2 meters, Time: 135.5 seconds
Name: -, Instruction: Turn left, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn right, Distance: 52.6 meters, Time: 37.9 seconds
Name: -, Instruction: Turn left, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 59.6 meters, Time: 42.9 seconds
Name: -, Instruction: Turn left, Distance: 20.1 meters, Time: 14.5 seconds
Name: -, Instruction: Turn right, Distance: 14.9 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 68.9 meters, Time: 49.6 seconds
Name: -, Instruction: Keep right, Distance: 58.3 meters, Time: 42.0 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 60.3 meters, Time: 43.4 seconds
Name: -, Instruction: Turn slight left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 68.3 meters, Time: 49.2 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: Rue de Buzenval, Instruction: Turn right onto Rue de Buzenval, Distance: 11.4 meters, Time: 8.2 seconds
Name: Rue de la Plaine, Instruction: Turn left onto Rue de la Plaine, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn slight left, Distance: 69.9 meters, Time: 50.3 seconds
Name: -, Instruction: Turn right, Distance: 71.9 meters, Time: 51.8 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
