Name: Woodbridge Street, Instruction: Head north on Woodbridge Street, Distance: 41.6 meters, Time: 30.0 seconds
Name: Donnelly Street, Instruction: Turn sharp left onto Donnelly Street, Distance: 135.4 meters, Time: 97.5 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.0 seconds
Name: Parkway Drive Shared Path, Instruction: Turn left onto Parkway Drive Shared Path, Distance: 35.5 meters, Time: 25.5 seconds
Name: Atkinson Street, Instruction: Turn right onto Atkinson Street, Distance: 205.3 meters, Time: 147.8 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.7 seconds
Name: -, Instruction: Turn slight left, Distance: 52.1 meters, Time: 37.5 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.8 seconds
Name: Floribunda Parade, Instruction: Turn left onto Floribunda Parade, Distance: 10.6 meters, Time: 7.7 seconds
Name: Witts Avenue, Instruction: Turn right onto Witts Avenue, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 53.4 meters, Time: 38.4 seconds
Name: -, Instruction: Turn slight left, Distance: 13.4 meters, Time: 9.7 seconds
Name: Wilcox Street, Instruction: Turn sharp left onto Wilcox Street, Distance: 72.7 meters, Time: 52.4 seconds
Name: -, Instruction: Arrive at Wilcox Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
