Name: East 46th Place, Instruction: Head northwest on East 46th Place, Distance: 155.3 meters, Time: 111.8 seconds
Name: -, Instruction: Turn left, Distance: 113.6 meters, Time: 81.8 seconds
Name: -, Instruction: Turn right, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn left, Distance: 62.8 meters, Time: 45.2 seconds
Name: -, Instruction: Turn right, Distance: 52.7 meters, Time: 37.9 seconds
Name: -, Instruction: Turn right, Distance: 371.6 meters, Time: 267.6 seconds
Name: -, Instruction: Turn slight right, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Keep left, Distance: 40.2 meters, Time: 28.9 seconds
Name: -, Instruction: Turn right, Distance: 58.0 meters, Time: 41.7 seconds
Name: -, Instruction: Turn left, Distance: 46.2 meters, Time: 33.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
