Name: Perry Street, Instruction: Head north on Perry Street, Distance: 176.8 meters, Time: 127.3 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 119.0 meters, Time: 85.6 seconds
Name: -, Instruction: Turn left, Distance: 141.7 meters, Time: 102.0 seconds
Name: -, Instruction: Turn right, Distance: 84.8 meters, Time: 61.0 seconds
Name: Mill Drive, Instruction: Turn right onto Mill Drive, Distance: 572.5 meters, Time: 412.2 seconds
Name: -, Instruction: Turn right, Distance: 159.5 meters, Time: 114.9 seconds
Name: -, Instruction: Turn slight left, Distance: 24.9 meters, Time: 18.0 seconds
Name: -, Instruction: Turn right, Distance: 586.6 meters, Time: 422.4 seconds
Name: -, Instruction: Turn left, Distance: 86.2 meters, Time: 62.1 seconds
Name: -, Instruction: Turn right, Distance: 182.8 meters, Time: 131.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 160.9 meters, Time: 115.9 seconds
Name: -, Instruction: Turn right, Distance: 39.6 meters, Time: 28.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
