Name: Hanikura Street, Instruction: Head south on Hanikura Street, Distance: 145.4 meters, Time: 104.7 seconds
Name: Longshore Drive, Instruction: Turn right onto Longshore Drive, Distance: 254.5 meters, Time: 183.2 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 160.0 meters, Time: 115.2 seconds
Name: -, Instruction: Keep right, Distance: 80.2 meters, Time: 57.7 seconds
Name: -, Instruction: Continue straight, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Turn right, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 202.2 meters, Time: 145.5 seconds
Name: -, Instruction: Keep right, Distance: 406.8 meters, Time: 292.9 seconds
Name: -, Instruction: Keep right, Distance: 964.0 meters, Time: 694.1 seconds
Name: -, Instruction: Continue straight, Distance: 34.6 meters, Time: 24.9 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: Glenvar Road, Instruction: Enter the roundabout and take the 1st exit onto Glenvar Road, Distance: 1.9 meters, Time: 1.3 seconds
Name: -, Instruction: Arrive at Glenvar Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
