Name: Ross Crescent, Instruction: Head southeast on Ross Crescent, Distance: 22.3 meters, Time: 16.0 seconds
Name: Taringha Street, Instruction: Turn left onto Taringha Street, Distance: 268.4 meters, Time: 193.2 seconds
Name: Great Blue Mountains Trail, Instruction: Turn right onto Great Blue Mountains Trail, Distance: 372.9 meters, Time: 268.5 seconds
Name: Great Blue Mountains Trail, Instruction: Turn slight left onto Great Blue Mountains Trail, Distance: 14.5 meters, Time: 10.5 seconds
Name: Great Blue Mountains Trail, Instruction: Turn slight right onto Great Blue Mountains Trail, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Continue straight, Distance: 340.0 meters, Time: 244.8 seconds
Name: -, Instruction: Turn left, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Turn right, Distance: 36.1 meters, Time: 26.0 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 402.3 meters, Time: 289.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 96.3 meters, Time: 69.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
