Name: Boundary Lane, Instruction: Head west on Boundary Lane, Distance: 140.3 meters, Time: 101.0 seconds
Name: Cumberland Street, Instruction: Turn right onto Cumberland Street, Distance: 69.0 meters, Time: 49.7 seconds
Name: Bridge Street, Instruction: Enter the roundabout and take the 1st exit onto Bridge Street, Distance: 264.8 meters, Time: 190.6 seconds
Name: Broomfield Street, Instruction: Turn right onto Broomfield Street, Distance: 184.8 meters, Time: 133.0 seconds
Name: -, Instruction: Turn left, Distance: 27.2 meters, Time: 19.6 seconds
Name: Pedestrian overpass, Instruction: Turn left onto Pedestrian overpass, Distance: 25.1 meters, Time: 18.1 seconds
Name: Pedestrian overpass, Instruction: Turn right onto Pedestrian overpass, Distance: 14.0 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 356.7 meters, Time: 256.9 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
