Name: Monarch Park Avenue, Instruction: Head north on Monarch Park Avenue, Distance: 583.1 meters, Time: 419.8 seconds
Name: Sammon Avenue, Instruction: Turn right onto Sammon Avenue, Distance: 62.1 meters, Time: 44.7 seconds
Name: Roosevelt Road, Instruction: Turn left onto Roosevelt Road, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 78.4 meters, Time: 56.4 seconds
Name: Durant Avenue, Instruction: Turn left onto Durant Avenue, Distance: 196.0 meters, Time: 141.1 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 16.2 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 71.5 meters, Time: 51.5 seconds
Name: -, Instruction: Turn left, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Keep left, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn slight left, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Keep left, Distance: 39.2 meters, Time: 28.2 seconds
Name: -, Instruction: Turn right, Distance: 502.1 meters, Time: 361.5 seconds
Name: -, Instruction: Turn right, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.2 seconds
Name: Plains Road, Instruction: Turn right onto Plains Road, Distance: 80.8 meters, Time: 58.2 seconds
Name: Treadway Boulevard, Instruction: Turn left onto Treadway Boulevard, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 194.1 meters, Time: 139.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
