Name: 2nd Street, Instruction: Head north on 2nd Street, Distance: 70.4 meters, Time: 50.7 seconds
Name: Heideveld Road, Instruction: Turn left onto Heideveld Road, Distance: 232.1 meters, Time: 167.1 seconds
Name: Heideveld Road, Instruction: Keep right onto Heideveld Road, Distance: 311.4 meters, Time: 224.2 seconds
Name: Volstruis Road, Instruction: Turn right onto Volstruis Road, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Turn left, Distance: 90.4 meters, Time: 65.1 seconds
Name: Bosduif Road, Instruction: Turn right onto Bosduif Road, Distance: 1217.5 meters, Time: 876.6 seconds
Name: -, Instruction: Turn right, Distance: 120.9 meters, Time: 87.1 seconds
Name: -, Instruction: Turn left, Distance: 18.4 meters, Time: 13.2 seconds
Name: Tarentaal Road, Instruction: Turn right onto Tarentaal Road, Distance: 176.7 meters, Time: 127.2 seconds
Name: -, Instruction: Turn right, Distance: 78.1 meters, Time: 56.2 seconds
Name: -, Instruction: Turn left, Distance: 24.4 meters, Time: 17.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
