Name: Broadway Avenue, Instruction: Head east on Broadway Avenue, Distance: 66.9 meters, Time: 48.2 seconds
Name: -, Instruction: Turn right, Distance: 181.9 meters, Time: 130.9 seconds
Name: -, Instruction: Turn left, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn right, Distance: 143.5 meters, Time: 103.3 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 247.3 meters, Time: 178.1 seconds
Name: -, Instruction: Turn slight left, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Keep right, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn slight right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn slight left, Distance: 191.6 meters, Time: 138.0 seconds
Name: -, Instruction: Keep right, Distance: 210.9 meters, Time: 151.8 seconds
Name: -, Instruction: Keep left, Distance: 33.7 meters, Time: 24.3 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: Belsize Drive, Instruction: Turn left onto Belsize Drive, Distance: 43.9 meters, Time: 31.6 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 96.5 meters, Time: 69.5 seconds
Name: -, Instruction: Keep left, Distance: 7.7 meters, Time: 5.5 seconds
Name: Harwood Road, Instruction: Turn right onto Harwood Road, Distance: 90.2 meters, Time: 65.0 seconds
Name: Millwood Road, Instruction: Turn left onto Millwood Road, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Arrive at Millwood Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
