Name: Langkostraße, Instruction: Head north on Langkostraße, Distance: 67.2 meters, Time: 48.4 seconds
Name: Lorenzstraße, Instruction: Turn right onto Lorenzstraße, Distance: 399.0 meters, Time: 287.3 seconds
Name: -, Instruction: Turn right, Distance: 43.6 meters, Time: 31.4 seconds
Name: -, Instruction: Turn left, Distance: 158.2 meters, Time: 113.9 seconds
Name: -, Instruction: Turn slight left, Distance: 13.0 meters, Time: 9.4 seconds
Name: Putzbrunner Straße, Instruction: Turn right onto Putzbrunner Straße, Distance: 212.6 meters, Time: 153.1 seconds
Name: -, Instruction: Turn left, Distance: 79.1 meters, Time: 57.0 seconds
Name: -, Instruction: Keep right, Distance: 23.8 meters, Time: 17.2 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 39.2 meters, Time: 28.2 seconds
Name: Thomas-Dehler-Straße, Instruction: Turn left onto Thomas-Dehler-Straße, Distance: 76.0 meters, Time: 54.7 seconds
Name: -, Instruction: Keep right, Distance: 13.6 meters, Time: 9.8 seconds
Name: Von-Knoeringen-Straße, Instruction: Turn sharp right onto Von-Knoeringen-Straße, Distance: 27.7 meters, Time: 19.9 seconds
Name: -, Instruction: Arrive at Von-Knoeringen-Straße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
