Name: Rue Lamarck, Instruction: Head east on Rue Lamarck, Distance: 6.9 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 314.0 meters, Time: 226.1 seconds
Name: -, Instruction: Keep right, Distance: 116.7 meters, Time: 84.0 seconds
Name: -, Instruction: Turn right, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 37.3 meters, Time: 26.9 seconds
Name: -, Instruction: Turn slight right, Distance: 279.1 meters, Time: 200.9 seconds
Name: -, Instruction: Turn slight right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 163.5 meters, Time: 117.8 seconds
Name: -, Instruction: Turn left, Distance: 42.9 meters, Time: 30.9 seconds
Name: -, Instruction: Turn right, Distance: 56.6 meters, Time: 40.7 seconds
Name: Rue d'Amsterdam, Instruction: Turn left onto Rue d'Amsterdam, Distance: 615.3 meters, Time: 443.0 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: Place de Budapest, Instruction: Turn right onto Place de Budapest, Distance: 63.6 meters, Time: 45.8 seconds
Name: -, Instruction: Keep right, Distance: 3.0 meters, Time: 2.1 seconds
Name: Rue de Budapest, Instruction: Turn left onto Rue de Budapest, Distance: 172.4 meters, Time: 124.1 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 45.7 meters, Time: 32.9 seconds
Name: Rue de Caumartin, Instruction: Turn right onto Rue de Caumartin, Distance: 91.8 meters, Time: 66.1 seconds
Name: -, Instruction: Turn left, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 51.7 meters, Time: 37.2 seconds
Name: -, Instruction: Keep left, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Keep right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 0.8 meters, Time: 0.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
