Name: Condor Avenue, Instruction: Head south on Condor Avenue, Distance: 218.9 meters, Time: 157.6 seconds
Name: -, Instruction: Turn right, Distance: 46.0 meters, Time: 33.1 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: Boultbee Avenue, Instruction: Turn right onto Boultbee Avenue, Distance: 154.1 meters, Time: 110.9 seconds
Name: -, Instruction: Keep left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 55.3 meters, Time: 39.8 seconds
Name: -, Instruction: Turn right, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Keep left, Distance: 6.0 meters, Time: 4.3 seconds
Name: Boultbee Avenue, Instruction: Turn right onto Boultbee Avenue, Distance: 176.0 meters, Time: 126.7 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Keep right, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Turn left, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn right, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn left, Distance: 127.8 meters, Time: 92.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
