Name: Kopuru Road, Instruction: Head west on Kopuru Road, Distance: 67.6 meters, Time: 48.7 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn right, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn left, Distance: 253.4 meters, Time: 182.4 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: Harewood Street, Instruction: Turn right onto Harewood Street, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 46.7 meters, Time: 33.6 seconds
Name: -, Instruction: Turn slight left, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Keep right, Distance: 9.2 meters, Time: 6.6 seconds
Name: Roundel Crescent, Instruction: Turn left onto Roundel Crescent, Distance: 161.8 meters, Time: 116.5 seconds
Name: Boyes Avenue, Instruction: Turn left onto Boyes Avenue, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 55.3 meters, Time: 39.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
