Name: Beech Road, Instruction: Head east on Beech Road, Distance: 128.3 meters, Time: 92.3 seconds
Name: -, Instruction: Turn right, Distance: 45.1 meters, Time: 32.5 seconds
Name: -, Instruction: Turn left, Distance: 66.4 meters, Time: 47.8 seconds
Name: -, Instruction: Turn slight right, Distance: 57.5 meters, Time: 41.4 seconds
Name: -, Instruction: Turn left, Distance: 101.0 meters, Time: 72.7 seconds
Name: -, Instruction: Turn right, Distance: 113.0 meters, Time: 81.4 seconds
Name: -, Instruction: Turn right, Distance: 26.6 meters, Time: 19.2 seconds
Name: -, Instruction: Turn right, Distance: 108.9 meters, Time: 78.4 seconds
Name: -, Instruction: Turn right, Distance: 481.3 meters, Time: 346.5 seconds
Name: -, Instruction: Turn slight right, Distance: 152.4 meters, Time: 109.7 seconds
Name: -, Instruction: Turn left, Distance: 231.1 meters, Time: 166.4 seconds
Name: Glatton Road, Instruction: Turn right onto Glatton Road, Distance: 69.3 meters, Time: 49.9 seconds
Name: -, Instruction: Arrive at Glatton Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
