Name: Stella Road, Instruction: Head southwest on Stella Road, Distance: 413.0 meters, Time: 297.4 seconds
Name: Dawn Road, Instruction: Turn right onto Dawn Road, Distance: 130.7 meters, Time: 94.1 seconds
Name: -, Instruction: Turn right, Distance: 22.5 meters, Time: 16.2 seconds
Name: Montague Drive, Instruction: Turn right onto Montague Drive, Distance: 77.0 meters, Time: 55.5 seconds
Name: -, Instruction: Turn right, Distance: 137.6 meters, Time: 99.1 seconds
Name: -, Instruction: Turn left, Distance: 18.0 meters, Time: 12.9 seconds
Name: Montague Drive, Instruction: Turn right onto Montague Drive, Distance: 28.0 meters, Time: 20.1 seconds
Name: -, Instruction: Turn right, Distance: 15.5 meters, Time: 11.1 seconds
Name: -, Instruction: Turn slight left, Distance: 52.8 meters, Time: 38.0 seconds
Name: Turf Club Drive, Instruction: Turn right onto Turf Club Drive, Distance: 27.6 meters, Time: 19.8 seconds
Name: -, Instruction: Turn right, Distance: 69.2 meters, Time: 49.8 seconds
Name: William Penn Street, Instruction: Turn right onto William Penn Street, Distance: 72.5 meters, Time: 52.2 seconds
Name: -, Instruction: Turn right, Distance: 71.6 meters, Time: 51.5 seconds
Name: William Penn Street, Instruction: Turn right onto William Penn Street, Distance: 25.3 meters, Time: 18.2 seconds
Name: Sea Cottage Crescent, Instruction: Turn left onto Sea Cottage Crescent, Distance: 356.7 meters, Time: 256.8 seconds
Name: Parkview Close, Instruction: Turn right onto Parkview Close, Distance: 81.0 meters, Time: 58.3 seconds
Name: -, Instruction: Arrive at Parkview Close, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
