Name: Australia Street, Instruction: Head southwest on Australia Street, Distance: 271.0 meters, Time: 195.1 seconds
Name: -, Instruction: Turn right, Distance: 132.2 meters, Time: 95.2 seconds
Name: -, Instruction: Turn left, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Turn right, Distance: 177.6 meters, Time: 127.8 seconds
Name: Monfarville Street, Instruction: Turn left onto Monfarville Street, Distance: 514.5 meters, Time: 370.5 seconds
Name: Mitchell Street, Instruction: Turn right onto Mitchell Street, Distance: 99.4 meters, Time: 71.6 seconds
Name: Inglis Avenue, Instruction: Turn left onto Inglis Avenue, Distance: 254.0 meters, Time: 182.9 seconds
Name: -, Instruction: Turn right, Distance: 137.7 meters, Time: 99.2 seconds
Name: -, Instruction: Turn right, Distance: 154.5 meters, Time: 111.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
