Name: Nereid Road, Instruction: Head southeast on Nereid Road, Distance: 113.8 meters, Time: 81.9 seconds
Name: Robinson Road, Instruction: Turn right onto Robinson Road, Distance: 379.9 meters, Time: 273.5 seconds
Name: Thornflat Road, Instruction: Turn right onto Thornflat Road, Distance: 66.4 meters, Time: 47.8 seconds
Name: -, Instruction: Turn left, Distance: 591.9 meters, Time: 426.1 seconds
Name: -, Instruction: Turn left, Distance: 45.1 meters, Time: 32.5 seconds
Name: -, Instruction: Keep left, Distance: 159.2 meters, Time: 114.6 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 310.4 meters, Time: 223.5 seconds
Name: -, Instruction: Turn right, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 206.1 meters, Time: 148.4 seconds
Name: -, Instruction: Turn right, Distance: 56.3 meters, Time: 40.5 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn left, Distance: 93.3 meters, Time: 67.2 seconds
Name: -, Instruction: Turn right, Distance: 124.9 meters, Time: 89.9 seconds
Name: -, Instruction: Turn left, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
