Name: Stonecutters Lane, Instruction: Head north on Stonecutters Lane, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Turn left, Distance: 162.3 meters, Time: 116.9 seconds
Name: George Street, Instruction: Turn left onto George Street, Distance: 56.8 meters, Time: 40.9 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 88.7 meters, Time: 63.8 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn left, Distance: 27.3 meters, Time: 19.7 seconds
Name: -, Instruction: Keep right, Distance: 1.3 meters, Time: 1.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 99.7 meters, Time: 71.8 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Keep right, Distance: 43.0 meters, Time: 31.0 seconds
Name: -, Instruction: Turn slight right, Distance: 69.7 meters, Time: 50.2 seconds
Name: -, Instruction: Turn left, Distance: 186.0 meters, Time: 133.9 seconds
Name: -, Instruction: Turn right, Distance: 24.8 meters, Time: 17.9 seconds
Name: -, Instruction: Turn slight right, Distance: 286.4 meters, Time: 206.2 seconds
Name: -, Instruction: Turn left, Distance: 368.7 meters, Time: 265.5 seconds
Name: -, Instruction: Keep right, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Keep right, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Keep right, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Keep left, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Keep left, Distance: 43.7 meters, Time: 31.5 seconds
Name: -, Instruction: Keep right, Distance: 13.4 meters, Time: 9.7 seconds
Name: -, Instruction: Keep left, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Keep left, Distance: 105.5 meters, Time: 76.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
