Name: Dom-Pedro-Platz, Instruction: Head north on Dom-Pedro-Platz, Distance: 47.9 meters, Time: 34.5 seconds
Name: -, Instruction: Turn left, Distance: 23.8 meters, Time: 17.1 seconds
Name: Taxisstraße, Instruction: Continue straight onto Taxisstraße, Distance: 85.0 meters, Time: 61.2 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: Taxisstraße, Instruction: Turn right onto Taxisstraße, Distance: 310.3 meters, Time: 223.4 seconds
Name: Klugstraße, Instruction: Turn left onto Klugstraße, Distance: 83.3 meters, Time: 60.0 seconds
Name: Hofenfelsstraße, Instruction: Turn right onto Hofenfelsstraße, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 76.6 meters, Time: 55.2 seconds
Name: -, Instruction: Turn right, Distance: 565.1 meters, Time: 406.8 seconds
Name: -, Instruction: Turn right, Distance: 46.3 meters, Time: 33.4 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
