Name: شارع اسماعيل, Instruction: Head east on شارع اسماعيل, Distance: 20.8 meters, Time: 14.9 seconds
Name: شارع الباجور, Instruction: Turn left onto شارع الباجور, Distance: 321.5 meters, Time: 231.5 seconds
Name: شارع الباجور, Instruction: Keep right onto شارع الباجور, Distance: 32.9 meters, Time: 23.7 seconds
Name: شارع الخلاء, Instruction: Turn left onto شارع الخلاء, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Turn left, Distance: 44.9 meters, Time: 32.4 seconds
Name: شارع الشهيد صلاح عشماوى زرد, Instruction: Turn left onto شارع الشهيد صلاح عشماوى زرد, Distance: 154.1 meters, Time: 111.0 seconds
Name: شارع الخلاء, Instruction: Turn right onto شارع الخلاء, Distance: 78.1 meters, Time: 56.2 seconds
Name: -, Instruction: Continue straight, Distance: 25.7 meters, Time: 18.5 seconds
Name: شارع صلاح سالم, Instruction: Turn right onto شارع صلاح سالم, Distance: 540.3 meters, Time: 389.0 seconds
Name: -, Instruction: Keep left, Distance: 61.7 meters, Time: 44.4 seconds
Name: -, Instruction: Keep left, Distance: 255.5 meters, Time: 183.9 seconds
Name: شارع المتحف الحربي القومى, Instruction: Turn left onto شارع المتحف الحربي القومى, Distance: 147.1 meters, Time: 105.9 seconds
Name: شارع المتحف الحربي القومى, Instruction: Keep right onto شارع المتحف الحربي القومى, Distance: 48.7 meters, Time: 35.1 seconds
Name: شارع المتحف الحربي القومى, Instruction: Turn right onto شارع المتحف الحربي القومى, Distance: 220.7 meters, Time: 158.9 seconds
Name: -, Instruction: Turn right, Distance: 72.3 meters, Time: 52.1 seconds
Name: شارع القلعه, Instruction: Turn right onto شارع القلعه, Distance: 93.7 meters, Time: 67.5 seconds
Name: شارع القلعه, Instruction: Turn slight left onto شارع القلعه, Distance: 79.1 meters, Time: 57.0 seconds
Name: -, Instruction: Turn left, Distance: 79.2 meters, Time: 57.0 seconds
Name: -, Instruction: Turn right, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 68.6 meters, Time: 49.4 seconds
Name: -, Instruction: Turn slight right, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 69.1 meters, Time: 49.8 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.6 seconds
Name: -, Instruction: Turn slight right, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn slight right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
