Name: Ken Lai Lane, Instruction: Head south on Ken Lai Lane, Distance: 73.9 meters, Time: 53.2 seconds
Name: -, Instruction: Turn left, Distance: 37.7 meters, Time: 27.2 seconds
Name: -, Instruction: Turn slight right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Keep left, Distance: 79.2 meters, Time: 57.0 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 218.5 meters, Time: 157.3 seconds
Name: -, Instruction: Turn left, Distance: 116.7 meters, Time: 84.0 seconds
Name: Howland Avenue, Instruction: Turn right onto Howland Avenue, Distance: 4.0 meters, Time: 2.8 seconds
Name: Barton Avenue, Instruction: Turn left onto Barton Avenue, Distance: 98.5 meters, Time: 70.9 seconds
Name: Brunswick Avenue, Instruction: Turn right onto Brunswick Avenue, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 64.7 meters, Time: 46.6 seconds
Name: -, Instruction: Keep right, Distance: 6.5 meters, Time: 4.7 seconds
Name: Lowther Avenue, Instruction: Turn left onto Lowther Avenue, Distance: 146.1 meters, Time: 105.2 seconds
Name: -, Instruction: Turn right, Distance: 122.7 meters, Time: 88.3 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.4 seconds
Name: Walmer Road, Instruction: Turn right onto Walmer Road, Distance: 201.4 meters, Time: 145.0 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 162.9 meters, Time: 117.3 seconds
Name: -, Instruction: Keep right, Distance: 11.2 meters, Time: 8.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
