Name: Boyle Crescent, Instruction: Head west on Boyle Crescent, Distance: 125.4 meters, Time: 90.3 seconds
Name: -, Instruction: Turn right, Distance: 189.8 meters, Time: 136.7 seconds
Name: Seafield View Road, Instruction: Turn left onto Seafield View Road, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 404.2 meters, Time: 291.1 seconds
Name: -, Instruction: Turn slight right, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Turn right, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn slight right, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Turn slight left, Distance: 118.2 meters, Time: 85.1 seconds
Name: -, Instruction: Turn right, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 135.8 meters, Time: 97.8 seconds
Name: -, Instruction: Turn slight left, Distance: 114.1 meters, Time: 82.1 seconds
Name: -, Instruction: Turn right, Distance: 223.9 meters, Time: 161.2 seconds
Name: -, Instruction: Turn slight right, Distance: 94.7 meters, Time: 68.2 seconds
Name: -, Instruction: Continue straight, Distance: 82.9 meters, Time: 59.7 seconds
Name: -, Instruction: Turn right, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn left, Distance: 43.2 meters, Time: 31.1 seconds
Name: -, Instruction: Turn right, Distance: 268.2 meters, Time: 193.1 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
