Name: Durachweg, Instruction: Head southeast on Durachweg, Distance: 84.8 meters, Time: 61.0 seconds
Name: -, Instruction: Turn right, Distance: 20.9 meters, Time: 15.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.2 seconds
Name: Wasserturmstraße, Instruction: Turn sharp left onto Wasserturmstraße, Distance: 102.5 meters, Time: 73.8 seconds
Name: Krausstraße, Instruction: Turn right onto Krausstraße, Distance: 441.6 meters, Time: 318.0 seconds
Name: -, Instruction: Turn slight right, Distance: 653.9 meters, Time: 470.8 seconds
Name: -, Instruction: Turn right, Distance: 16.0 meters, Time: 11.5 seconds
Name: Münchener Straße, Instruction: Turn left onto Münchener Straße, Distance: 55.9 meters, Time: 40.3 seconds
Name: Münchener Straße, Instruction: Enter the roundabout and take the 1st exit onto Münchener Straße, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 77.0 meters, Time: 55.4 seconds
Name: Münchener Straße, Instruction: Turn right onto Münchener Straße, Distance: 21.2 meters, Time: 15.3 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 72.8 meters, Time: 52.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
