Name: Letterkenny Place, Instruction: Head south on Letterkenny Place, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 109.9 meters, Time: 79.1 seconds
Name: -, Instruction: Turn left, Distance: 582.6 meters, Time: 419.5 seconds
Name: -, Instruction: Turn left, Distance: 183.3 meters, Time: 131.9 seconds
Name: -, Instruction: Turn right, Distance: 19.4 meters, Time: 13.9 seconds
Name: -, Instruction: Turn left, Distance: 84.2 meters, Time: 60.6 seconds
Name: -, Instruction: Turn right, Distance: 237.9 meters, Time: 171.3 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.8 seconds
Name: Gilletta Road, Instruction: Turn right onto Gilletta Road, Distance: 327.0 meters, Time: 235.4 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Keep right, Distance: 81.8 meters, Time: 58.9 seconds
Name: -, Instruction: Turn left, Distance: 49.2 meters, Time: 35.4 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
