Name: Am Vogelherd, Instruction: Head northeast on Am Vogelherd, Distance: 102.9 meters, Time: 74.1 seconds
Name: Aubinger Straße, Instruction: Turn right onto Aubinger Straße, Distance: 67.6 meters, Time: 48.7 seconds
Name: Asamstraße, Instruction: Turn right onto Asamstraße, Distance: 424.5 meters, Time: 305.7 seconds
Name: Sämannstraße, Instruction: Continue straight onto Sämannstraße, Distance: 128.1 meters, Time: 92.2 seconds
Name: Maria-Eich-Straße, Instruction: Turn slight left onto Maria-Eich-Straße, Distance: 167.7 meters, Time: 120.7 seconds
Name: Maria-Eich-Straße, Instruction: Keep right onto Maria-Eich-Straße, Distance: 29.8 meters, Time: 21.4 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 589.1 meters, Time: 424.1 seconds
Name: -, Instruction: Turn left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 273.6 meters, Time: 197.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
