Name: Rua São Lourenço, Instruction: Head west on Rua São Lourenço, Distance: 390.3 meters, Time: 281.0 seconds
Name: Estrada dos Coqueiros, Instruction: Turn right onto Estrada dos Coqueiros, Distance: 21.7 meters, Time: 15.6 seconds
Name: Estrada dos Coqueiros, Instruction: Keep left onto Estrada dos Coqueiros, Distance: 41.9 meters, Time: 30.2 seconds
Name: -, Instruction: Turn left, Distance: 14.5 meters, Time: 10.5 seconds
Name: Rua Teixeira Campos, Instruction: Turn slight left onto Rua Teixeira Campos, Distance: 139.7 meters, Time: 100.6 seconds
Name: Rua Alexandre Amaral, Instruction: Turn right onto Rua Alexandre Amaral, Distance: 590.4 meters, Time: 425.1 seconds
Name: -, Instruction: Turn right, Distance: 57.7 meters, Time: 41.5 seconds
Name: -, Instruction: Turn left, Distance: 9.2 meters, Time: 6.6 seconds
Name: Rua Caiara, Instruction: Enter the roundabout and take the 1st exit onto Rua Caiara, Distance: 79.5 meters, Time: 57.3 seconds
Name: Estrada Sete Riachos, Instruction: Turn right onto Estrada Sete Riachos, Distance: 101.6 meters, Time: 73.1 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 76.4 meters, Time: 55.0 seconds
Name: -, Instruction: Keep right, Distance: 46.2 meters, Time: 33.2 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 136.6 meters, Time: 98.3 seconds
Name: Estrada dos Sete Riachos, Instruction: Turn left onto Estrada dos Sete Riachos, Distance: 316.0 meters, Time: 227.5 seconds
Name: -, Instruction: Turn left, Distance: 74.3 meters, Time: 53.5 seconds
Name: -, Instruction: Keep right, Distance: 137.7 meters, Time: 99.1 seconds
Name: Rua Emanuel, Instruction: Turn right onto Rua Emanuel, Distance: 70.1 meters, Time: 50.5 seconds
Name: Estrada dos Sete Riachos, Instruction: Turn left onto Estrada dos Sete Riachos, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Arrive at Estrada dos Sete Riachos, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
