Name: Woodward Evans Lane, Instruction: Head east on Woodward Evans Lane, Distance: 65.3 meters, Time: 47.0 seconds
Name: -, Instruction: Turn right, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Keep right, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 108.6 meters, Time: 78.2 seconds
Name: -, Instruction: Keep right, Distance: 122.3 meters, Time: 88.1 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 111.0 meters, Time: 79.9 seconds
Name: -, Instruction: Turn right, Distance: 46.6 meters, Time: 33.5 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: Regent Street, Instruction: Turn right onto Regent Street, Distance: 454.3 meters, Time: 327.1 seconds
Name: -, Instruction: Turn left, Distance: 85.2 meters, Time: 61.3 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: Sydenham Street, Instruction: Turn left onto Sydenham Street, Distance: 36.1 meters, Time: 26.0 seconds
Name: -, Instruction: Turn right, Distance: 45.7 meters, Time: 32.9 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: Sackville Street, Instruction: Turn right onto Sackville Street, Distance: 125.4 meters, Time: 90.3 seconds
Name: -, Instruction: Arrive at Sackville Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
