Name: Demollstraße, Instruction: Head southwest on Demollstraße, Distance: 160.5 meters, Time: 115.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn left, Distance: 318.4 meters, Time: 229.2 seconds
Name: Nederlinger Straße, Instruction: Turn right onto Nederlinger Straße, Distance: 127.2 meters, Time: 91.6 seconds
Name: -, Instruction: Turn left, Distance: 297.8 meters, Time: 214.4 seconds
Name: Stuberstraße, Instruction: Turn right onto Stuberstraße, Distance: 33.3 meters, Time: 24.0 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 85.4 meters, Time: 61.5 seconds
Name: -, Instruction: Turn left, Distance: 50.6 meters, Time: 36.4 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn slight right, Distance: 54.0 meters, Time: 38.9 seconds
Name: -, Instruction: Turn right, Distance: 52.1 meters, Time: 37.5 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
