Name: Tonar Street, Instruction: Head southeast on Tonar Street, Distance: 345.9 meters, Time: 249.1 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 147.7 meters, Time: 106.3 seconds
Name: -, Instruction: Turn left, Distance: 39.0 meters, Time: 28.1 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.7 seconds
Name: College Road, Instruction: Turn right onto College Road, Distance: 4.1 meters, Time: 3.0 seconds
Name: St Peters Street, Instruction: Turn left onto St Peters Street, Distance: 307.6 meters, Time: 221.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 93.8 meters, Time: 67.5 seconds
Name: -, Instruction: Keep right, Distance: 204.9 meters, Time: 147.5 seconds
Name: -, Instruction: Turn right, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 47.0 meters, Time: 33.9 seconds
Name: -, Instruction: Turn left, Distance: 75.0 meters, Time: 54.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
