Name: Raab Boulevard, Instruction: Head west on Raab Boulevard, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 34.0 meters, Time: 24.5 seconds
Name: Parking (upper level), Instruction: Turn right onto Parking (upper level), Distance: 37.4 meters, Time: 26.9 seconds
Name: Parking Garage 1 Entry 1, Instruction: Turn left onto Parking Garage 1 Entry 1, Distance: 30.8 meters, Time: 22.2 seconds
Name: Hospital Road, Instruction: Turn slight right onto Hospital Road, Distance: 59.6 meters, Time: 42.9 seconds
Name: Wellness Way, Instruction: Turn left onto Wellness Way, Distance: 109.3 meters, Time: 78.7 seconds
Name: -, Instruction: Turn left, Distance: 256.9 meters, Time: 185.0 seconds
Name: -, Instruction: Turn left, Distance: 31.5 meters, Time: 22.7 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Keep right, Distance: 603.6 meters, Time: 434.6 seconds
Name: -, Instruction: Keep right, Distance: 239.7 meters, Time: 172.6 seconds
Name: Lyndhurst Service Road, Instruction: Turn right onto Lyndhurst Service Road, Distance: 120.7 meters, Time: 86.9 seconds
Name: -, Instruction: Turn left, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Keep left, Distance: 105.7 meters, Time: 76.1 seconds
Name: -, Instruction: Turn left, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Turn slight left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
