Name: Calle Técnicos y Manuales, Instruction: Head north on Calle Técnicos y Manuales, Distance: 73.3 meters, Time: 52.8 seconds
Name: Tercera Cerrada Técnicos y Manuales, Instruction: Turn left onto Tercera Cerrada Técnicos y Manuales, Distance: 505.7 meters, Time: 364.1 seconds
Name: Calle Siracusa, Instruction: Turn right onto Calle Siracusa, Distance: 48.8 meters, Time: 35.2 seconds
Name: Calle Siracusa, Instruction: Continue straight onto Calle Siracusa, Distance: 52.4 meters, Time: 37.7 seconds
Name: Calle Paseo Galias, Instruction: Turn left onto Calle Paseo Galias, Distance: 491.9 meters, Time: 354.2 seconds
Name: -, Instruction: Turn right, Distance: 14.5 meters, Time: 10.4 seconds
Name: Calle Paseo Galias, Instruction: Turn left onto Calle Paseo Galias, Distance: 63.3 meters, Time: 45.6 seconds
Name: Calle Paseo Galias, Instruction: Turn slight right onto Calle Paseo Galias, Distance: 395.5 meters, Time: 284.8 seconds
Name: Avenida Tláhuac, Instruction: Turn right onto Avenida Tláhuac, Distance: 30.1 meters, Time: 21.6 seconds
Name: Sassari, Instruction: Turn right onto Sassari, Distance: 8.5 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 51.1 meters, Time: 36.8 seconds
Name: Calle Tiberiades, Instruction: Turn left onto Calle Tiberiades, Distance: 8.9 meters, Time: 6.4 seconds
Name: Avenida Tláhuac, Instruction: Turn right onto Avenida Tláhuac, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
