Name: Holt Road, Instruction: Head east on Holt Road, Distance: 138.6 meters, Time: 99.8 seconds
Name: Craigholm Street, Instruction: Turn right onto Craigholm Street, Distance: 279.6 meters, Time: 201.3 seconds
Name: Murchison Street, Instruction: Turn left onto Murchison Street, Distance: 198.8 meters, Time: 143.2 seconds
Name: Corea Street, Instruction: Turn right onto Corea Street, Distance: 87.8 meters, Time: 63.2 seconds
Name: Corea Street, Instruction: Keep right onto Corea Street, Distance: 92.7 meters, Time: 66.7 seconds
Name: Corea Street, Instruction: Turn slight right onto Corea Street, Distance: 289.4 meters, Time: 208.4 seconds
Name: Corea Street, Instruction: Enter the roundabout and take the 2nd exit onto Corea Street, Distance: 425.6 meters, Time: 306.4 seconds
Name: -, Instruction: Turn left, Distance: 195.4 meters, Time: 140.7 seconds
Name: -, Instruction: Turn right, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 13.7 meters, Time: 9.9 seconds
Name: Garnet Road, Instruction: Turn left onto Garnet Road, Distance: 132.5 meters, Time: 95.4 seconds
Name: Queanbeyan Avenue, Instruction: Turn left onto Queanbeyan Avenue, Distance: 307.3 meters, Time: 221.3 seconds
Name: -, Instruction: Arrive at Queanbeyan Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
