Name: Quakers Road, Instruction: Head northwest on Quakers Road, Distance: 83.1 meters, Time: 59.8 seconds
Name: -, Instruction: Turn right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Keep right, Distance: 916.4 meters, Time: 659.8 seconds
Name: -, Instruction: Turn left, Distance: 15.6 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Turn slight left, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn slight right, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 42.9 meters, Time: 30.9 seconds
Name: -, Instruction: Turn right, Distance: 76.9 meters, Time: 55.3 seconds
Name: -, Instruction: Turn right, Distance: 491.5 meters, Time: 353.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
