Name: Iceboat Terrace, Instruction: Head east on Iceboat Terrace, Distance: 90.9 meters, Time: 65.4 seconds
Name: -, Instruction: Turn left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 91.0 meters, Time: 65.5 seconds
Name: -, Instruction: Turn left, Distance: 21.3 meters, Time: 15.4 seconds
Name: -, Instruction: Turn left, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Keep right, Distance: 69.6 meters, Time: 50.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 162.1 meters, Time: 116.7 seconds
Name: -, Instruction: Keep right, Distance: 154.5 meters, Time: 111.2 seconds
Name: -, Instruction: Turn left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 126.9 meters, Time: 91.4 seconds
Name: -, Instruction: Keep right, Distance: 168.0 meters, Time: 121.0 seconds
Name: -, Instruction: Turn left, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 581.3 meters, Time: 418.5 seconds
Name: -, Instruction: Turn left, Distance: 44.8 meters, Time: 32.2 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: Grange Avenue, Instruction: Turn sharp left onto Grange Avenue, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: Grange Court, Instruction: Turn right onto Grange Court, Distance: 36.5 meters, Time: 26.3 seconds
Name: Grange Court, Instruction: Turn right onto Grange Court, Distance: 40.1 meters, Time: 28.9 seconds
Name: -, Instruction: Turn slight left, Distance: 39.1 meters, Time: 28.1 seconds
Name: -, Instruction: Turn right, Distance: 29.4 meters, Time: 21.2 seconds
Name: -, Instruction: Turn right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn slight right, Distance: 28.4 meters, Time: 20.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
