Name: Craigavon Way, Instruction: Head northwest on Craigavon Way, Distance: 45.3 meters, Time: 32.6 seconds
Name: Kevin Street, Instruction: Turn left onto Kevin Street, Distance: 83.7 meters, Time: 60.3 seconds
Name: -, Instruction: Turn left, Distance: 76.9 meters, Time: 55.4 seconds
Name: -, Instruction: Turn right, Distance: 34.1 meters, Time: 24.5 seconds
Name: -, Instruction: Turn left, Distance: 100.6 meters, Time: 72.4 seconds
Name: -, Instruction: Turn left, Distance: 91.5 meters, Time: 65.9 seconds
Name: Newry Way, Instruction: Turn right onto Newry Way, Distance: 8.1 meters, Time: 5.9 seconds
Name: Constitution Road, Instruction: Continue straight onto Constitution Road, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 503.1 meters, Time: 362.2 seconds
Name: -, Instruction: Turn left, Distance: 272.2 meters, Time: 196.0 seconds
Name: Page Street, Instruction: Turn right onto Page Street, Distance: 452.1 meters, Time: 325.5 seconds
Name: Dorothy Street, Instruction: Turn right onto Dorothy Street, Distance: 302.6 meters, Time: 217.8 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 418.5 meters, Time: 301.3 seconds
Name: Thane Street, Instruction: Turn right onto Thane Street, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Arrive at Thane Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
