Name: Calle Nogal, Instruction: Head south on Calle Nogal, Distance: 66.3 meters, Time: 47.7 seconds
Name: Calle Sor Juana Inés de la Cruz, Instruction: Turn left onto Calle Sor Juana Inés de la Cruz, Distance: 1271.6 meters, Time: 915.5 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn slight left, Distance: 110.2 meters, Time: 79.3 seconds
Name: -, Instruction: Turn right, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Keep left, Distance: 7.6 meters, Time: 5.4 seconds
Name: -, Instruction: Keep left, Distance: 54.7 meters, Time: 39.4 seconds
Name: -, Instruction: Keep right, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn left, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 50.5 meters, Time: 36.4 seconds
Name: -, Instruction: Turn slight left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
