Name: شارع هدى سلطان, Instruction: Head southwest on شارع هدى سلطان, Distance: 42.1 meters, Time: 30.3 seconds
Name: شارع عمر خورشيد, Instruction: Turn left onto شارع عمر خورشيد, Distance: 83.4 meters, Time: 60.0 seconds
Name: -, Instruction: Turn slight left, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 91.1 meters, Time: 65.6 seconds
Name: -, Instruction: Turn left, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 134.7 meters, Time: 97.0 seconds
Name: شارع رمسيس الثاني, Instruction: Turn slight left onto شارع رمسيس الثاني, Distance: 51.3 meters, Time: 36.9 seconds
Name: -, Instruction: Keep left, Distance: 81.2 meters, Time: 58.5 seconds
Name: شارع حتب رع, Instruction: Turn left onto شارع حتب رع, Distance: 38.3 meters, Time: 27.6 seconds
Name: -, Instruction: Arrive at شارع حتب رع, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
