Name: Queen Natalie Place, Instruction: Head northwest on Queen Natalie Place, Distance: 65.5 meters, Time: 47.1 seconds
Name: Sturm Avenue, Instruction: Enter the roundabout and take the 1st exit onto Sturm Avenue, Distance: 385.8 meters, Time: 277.8 seconds
Name: -, Instruction: Turn left, Distance: 119.9 meters, Time: 86.3 seconds
Name: -, Instruction: Turn right, Distance: 631.2 meters, Time: 454.5 seconds
Name: Northwestern Path, Instruction: Turn right onto Northwestern Path, Distance: 39.6 meters, Time: 28.5 seconds
Name: Northwestern Path, Instruction: Turn right onto Northwestern Path, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Keep left, Distance: 239.1 meters, Time: 172.2 seconds
Name: -, Instruction: Keep right, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn slight right, Distance: 167.1 meters, Time: 120.3 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
