Name: Avenida Paseo de la Reforma, Instruction: Head northeast on Avenida Paseo de la Reforma, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Keep left, Distance: 55.0 meters, Time: 39.6 seconds
Name: -, Instruction: Keep left, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn right, Distance: 35.9 meters, Time: 25.9 seconds
Name: -, Instruction: Turn slight right, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Keep left, Distance: 31.6 meters, Time: 22.7 seconds
Name: -, Instruction: Keep left, Distance: 567.0 meters, Time: 408.2 seconds
Name: -, Instruction: Keep left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Keep left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn slight right, Distance: 36.8 meters, Time: 26.5 seconds
Name: Calle José María Lafragua, Instruction: Turn left onto Calle José María Lafragua, Distance: 142.9 meters, Time: 102.9 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 209.1 meters, Time: 150.6 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: Calle Miguel Ramos Arizpe, Instruction: Turn right onto Calle Miguel Ramos Arizpe, Distance: 165.3 meters, Time: 119.0 seconds
Name: -, Instruction: Turn left, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 58.3 meters, Time: 42.0 seconds
Name: -, Instruction: Turn left, Distance: 9.8 meters, Time: 7.1 seconds
Name: Calle Juan Aldama, Instruction: Turn right onto Calle Juan Aldama, Distance: 599.6 meters, Time: 431.7 seconds
Name: Calle Carlos J. Meneses, Instruction: Turn left onto Calle Carlos J. Meneses, Distance: 35.9 meters, Time: 25.8 seconds
Name: Calle Juan Aldama, Instruction: Turn right onto Calle Juan Aldama, Distance: 192.9 meters, Time: 138.9 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 46.2 meters, Time: 33.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
