Name: Rua Marolo, Instruction: Head southeast on Rua Marolo, Distance: 189.6 meters, Time: 136.5 seconds
Name: Rua da Reverência, Instruction: Turn right onto Rua da Reverência, Distance: 179.7 meters, Time: 129.4 seconds
Name: Estrada Calmete, Instruction: Turn right onto Estrada Calmete, Distance: 26.2 meters, Time: 18.9 seconds
Name: Estrada Calmete, Instruction: Turn sharp left onto Estrada Calmete, Distance: 28.1 meters, Time: 20.2 seconds
Name: Estrada dos Bandeirantes, Instruction: Turn right onto Estrada dos Bandeirantes, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Turn left, Distance: 26.8 meters, Time: 19.3 seconds
Name: Estrada dos Bandeirantes, Instruction: Turn right onto Estrada dos Bandeirantes, Distance: 25.5 meters, Time: 18.3 seconds
Name: -, Instruction: Turn left, Distance: 23.5 meters, Time: 16.9 seconds
Name: -, Instruction: Turn slight left, Distance: 89.3 meters, Time: 64.3 seconds
Name: Avenida Salvador Allende, Instruction: Turn sharp left onto Avenida Salvador Allende, Distance: 300.8 meters, Time: 216.5 seconds
Name: -, Instruction: Turn left, Distance: 44.9 meters, Time: 32.3 seconds
Name: Avenida Salvador Allende, Instruction: Turn right onto Avenida Salvador Allende, Distance: 101.1 meters, Time: 72.8 seconds
Name: -, Instruction: Keep left, Distance: 45.0 meters, Time: 32.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 25.8 meters, Time: 18.6 seconds
Name: Avenida Salvador Allende, Instruction: Turn left onto Avenida Salvador Allende, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Keep left, Distance: 179.7 meters, Time: 129.4 seconds
Name: -, Instruction: Turn left, Distance: 86.6 meters, Time: 62.3 seconds
Name: -, Instruction: Turn left, Distance: 50.3 meters, Time: 36.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
