Name: Shellbank Lane, Instruction: Head southwest on Shellbank Lane, Distance: 57.1 meters, Time: 41.1 seconds
Name: Tahingamanu Road, Instruction: Turn right onto Tahingamanu Road, Distance: 35.8 meters, Time: 25.8 seconds
Name: Sierra Pine Road, Instruction: Turn left onto Sierra Pine Road, Distance: 83.6 meters, Time: 60.2 seconds
Name: Bristol Freighter Road, Instruction: Turn right onto Bristol Freighter Road, Distance: 108.2 meters, Time: 77.9 seconds
Name: Pūkeko Road, Instruction: Turn left onto Pūkeko Road, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 70.2 meters, Time: 50.5 seconds
Name: Waterlily Street, Instruction: Turn right onto Waterlily Street, Distance: 202.1 meters, Time: 145.5 seconds
Name: Squadron Drive, Instruction: Turn left onto Squadron Drive, Distance: 130.1 meters, Time: 93.7 seconds
Name: Joshua Carder Drive, Instruction: Keep left onto Joshua Carder Drive, Distance: 94.5 meters, Time: 68.1 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 303.3 meters, Time: 218.4 seconds
Name: -, Instruction: Keep left, Distance: 188.2 meters, Time: 135.5 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: Craigs Way, Instruction: Turn left onto Craigs Way, Distance: 106.9 meters, Time: 77.0 seconds
Name: -, Instruction: Keep right, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Keep left, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 1.7 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 56.2 meters, Time: 40.4 seconds
Name: -, Instruction: Turn left, Distance: 59.9 meters, Time: 43.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
