Name: Orfus Road, Instruction: Head west on Orfus Road, Distance: 41.9 meters, Time: 30.2 seconds
Name: Paul David Street, Instruction: Turn right onto Paul David Street, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 225.4 meters, Time: 162.3 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.7 seconds
Name: Bentworth Avenue, Instruction: Turn left onto Bentworth Avenue, Distance: 89.1 meters, Time: 64.1 seconds
Name: -, Instruction: Turn right, Distance: 203.1 meters, Time: 146.2 seconds
Name: Cartwright Avenue, Instruction: Turn left onto Cartwright Avenue, Distance: 278.6 meters, Time: 200.6 seconds
Name: -, Instruction: Turn right, Distance: 168.6 meters, Time: 121.4 seconds
Name: Caledonia Road, Instruction: Turn left onto Caledonia Road, Distance: 17.3 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Turn right, Distance: 444.3 meters, Time: 319.9 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.5 seconds
Name: Bridgeland Avenue, Instruction: Turn left onto Bridgeland Avenue, Distance: 223.9 meters, Time: 161.2 seconds
Name: -, Instruction: Arrive at Bridgeland Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
