Name: Barratt Avenue, Instruction: Head north on Barratt Avenue, Distance: 7.0 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 302.9 meters, Time: 218.1 seconds
Name: -, Instruction: Keep left, Distance: 128.1 meters, Time: 92.3 seconds
Name: -, Instruction: Turn right, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Turn right, Distance: 79.1 meters, Time: 56.9 seconds
Name: -, Instruction: Keep left, Distance: 194.1 meters, Time: 139.8 seconds
Name: -, Instruction: Keep left, Distance: 332.9 meters, Time: 239.7 seconds
Name: -, Instruction: Keep left, Distance: 52.7 meters, Time: 38.0 seconds
Name: -, Instruction: Keep left, Distance: 325.3 meters, Time: 234.2 seconds
Name: -, Instruction: Keep left, Distance: 393.3 meters, Time: 283.2 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: Perth Road, Instruction: Turn left onto Perth Road, Distance: 6.2 meters, Time: 4.5 seconds
Name: White Hart Lane, Instruction: Turn right onto White Hart Lane, Distance: 33.3 meters, Time: 24.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 58.6 meters, Time: 42.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
