Name: Sari Place, Instruction: Head northeast on Sari Place, Distance: 76.8 meters, Time: 55.3 seconds
Name: Tawāpou Close, Instruction: Turn left onto Tawāpou Close, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 112.0 meters, Time: 80.6 seconds
Name: -, Instruction: Turn left, Distance: 170.9 meters, Time: 123.0 seconds
Name: -, Instruction: Turn left, Distance: 146.2 meters, Time: 105.3 seconds
Name: -, Instruction: Turn left, Distance: 108.5 meters, Time: 78.1 seconds
Name: -, Instruction: Turn right, Distance: 167.6 meters, Time: 120.6 seconds
Name: -, Instruction: Turn right, Distance: 330.8 meters, Time: 238.2 seconds
Name: -, Instruction: Turn slight left, Distance: 382.0 meters, Time: 275.0 seconds
Name: -, Instruction: Keep left, Distance: 12.6 meters, Time: 9.0 seconds
Name: -, Instruction: Turn slight left, Distance: 46.7 meters, Time: 33.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
