Name: شارع ابن السراج, Instruction: Head northwest on شارع ابن السراج, Distance: 29.8 meters, Time: 21.5 seconds
Name: شارع 53, Instruction: Turn right onto شارع 53, Distance: 172.0 meters, Time: 123.8 seconds
Name: شارع 53, Instruction: Keep right onto شارع 53, Distance: 47.6 meters, Time: 34.2 seconds
Name: محور 82, Instruction: Turn right onto محور 82, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 14.4 meters, Time: 10.4 seconds
Name: محور 82, Instruction: Turn left onto محور 82, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 53.8 meters, Time: 38.7 seconds
Name: -, Instruction: Turn right, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Keep right, Distance: 29.7 meters, Time: 21.4 seconds
Name: شارع ابو حامد محمد, Instruction: Turn right onto شارع ابو حامد محمد, Distance: 409.7 meters, Time: 295.0 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 77.9 meters, Time: 56.1 seconds
Name: شارع مصطفى صادق الرفاعى, Instruction: Turn right onto شارع مصطفى صادق الرفاعى, Distance: 68.1 meters, Time: 49.1 seconds
Name: -, Instruction: Turn left, Distance: 75.8 meters, Time: 54.6 seconds
Name: شارع البرامكه, Instruction: Turn left onto شارع البرامكه, Distance: 14.4 meters, Time: 10.4 seconds
Name: شارع الشهيد سعد محمد حسن, Instruction: Enter the roundabout and take the 2nd exit onto شارع الشهيد سعد محمد حسن, Distance: 168.4 meters, Time: 121.2 seconds
Name: -, Instruction: Continue straight, Distance: 80.6 meters, Time: 58.0 seconds
Name: شارع الخليفه المطيع, Instruction: Turn left onto شارع الخليفه المطيع, Distance: 38.3 meters, Time: 27.6 seconds
Name: -, Instruction: Turn right, Distance: 118.2 meters, Time: 85.1 seconds
Name: شارع الخليفه الظاهر, Instruction: Turn left onto شارع الخليفه الظاهر, Distance: 646.3 meters, Time: 465.4 seconds
Name: شارع 14, Instruction: Turn left onto شارع 14, Distance: 84.9 meters, Time: 61.2 seconds
Name: شارع 14, Instruction: Keep right onto شارع 14, Distance: 33.9 meters, Time: 24.4 seconds
Name: شارع الخليفه المطيع, Instruction: Turn right onto شارع الخليفه المطيع, Distance: 145.6 meters, Time: 104.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 10.6 meters, Time: 7.7 seconds
Name: -, Instruction: Turn left, Distance: 66.7 meters, Time: 48.0 seconds
Name: شارع عمر بن عبد العزيز, Instruction: Turn left onto شارع عمر بن عبد العزيز, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn right, Distance: 16.0 meters, Time: 11.6 seconds
Name: شارع عمر بن عبد العزيز, Instruction: Turn left onto شارع عمر بن عبد العزيز, Distance: 15.2 meters, Time: 11.0 seconds
Name: -, Instruction: Arrive at شارع عمر بن عبد العزيز, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
