Name: Amy Lane, Instruction: Head northeast on Amy Lane, Distance: 95.4 meters, Time: 68.7 seconds
Name: MacDonald Street, Instruction: Turn left onto MacDonald Street, Distance: 30.7 meters, Time: 22.1 seconds
Name: Rochford Street, Instruction: Turn right onto Rochford Street, Distance: 137.3 meters, Time: 98.8 seconds
Name: -, Instruction: Turn left, Distance: 30.8 meters, Time: 22.2 seconds
Name: Rochford Street, Instruction: Turn slight right onto Rochford Street, Distance: 286.9 meters, Time: 206.6 seconds
Name: -, Instruction: Turn left, Distance: 226.2 meters, Time: 162.8 seconds
Name: -, Instruction: Turn right, Distance: 155.1 meters, Time: 111.6 seconds
Name: -, Instruction: Turn right, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn slight right, Distance: 8.8 meters, Time: 6.3 seconds
Name: Erskineville Road, Instruction: Turn left onto Erskineville Road, Distance: 53.3 meters, Time: 38.3 seconds
Name: -, Instruction: Turn right, Distance: 124.7 meters, Time: 89.8 seconds
Name: Church Street, Instruction: Turn left onto Church Street, Distance: 540.0 meters, Time: 388.8 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
