Name: MacKenzie Road, Instruction: Head southeast on MacKenzie Road, Distance: 20.4 meters, Time: 14.7 seconds
Name: Mayne Road, Instruction: Keep left onto Mayne Road, Distance: 94.3 meters, Time: 67.9 seconds
Name: -, Instruction: Turn right, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 66.6 meters, Time: 47.9 seconds
Name: -, Instruction: Turn right, Distance: 19.8 meters, Time: 14.3 seconds
Name: Race Course Road, Instruction: Turn left onto Race Course Road, Distance: 49.4 meters, Time: 35.6 seconds
Name: -, Instruction: Turn right, Distance: 674.1 meters, Time: 485.3 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Keep left, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn right, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 660.7 meters, Time: 475.7 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
