Name: Sipres Avenue, Instruction: Head northwest on Sipres Avenue, Distance: 287.9 meters, Time: 207.3 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Keep right, Distance: 152.2 meters, Time: 109.6 seconds
Name: -, Instruction: Keep left, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn right, Distance: 433.9 meters, Time: 312.4 seconds
Name: -, Instruction: Turn right, Distance: 131.4 meters, Time: 94.6 seconds
Name: Malamba Way, Instruction: Turn left onto Malamba Way, Distance: 207.8 meters, Time: 149.6 seconds
Name: N'Dabeni Road, Instruction: Turn right onto N'Dabeni Road, Distance: 72.8 meters, Time: 52.4 seconds
Name: -, Instruction: Turn right, Distance: 95.1 meters, Time: 68.5 seconds
Name: Rhodes Street, Instruction: Turn right onto Rhodes Street, Distance: 278.0 meters, Time: 200.2 seconds
Name: -, Instruction: Arrive at Rhodes Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
