Name: Windsor Road, Instruction: Head south on Windsor Road, Distance: 53.5 meters, Time: 38.5 seconds
Name: Windsor Street, Instruction: Turn left onto Windsor Street, Distance: 58.3 meters, Time: 41.9 seconds
Name: -, Instruction: Turn left, Distance: 25.4 meters, Time: 18.3 seconds
Name: -, Instruction: Turn left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 42.7 meters, Time: 30.7 seconds
Name: -, Instruction: Continue straight, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 70.9 meters, Time: 51.0 seconds
Name: -, Instruction: Continue straight, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 91.1 meters, Time: 65.6 seconds
Name: -, Instruction: Turn right, Distance: 41.3 meters, Time: 29.8 seconds
Name: -, Instruction: Keep right, Distance: 28.8 meters, Time: 20.7 seconds
Name: -, Instruction: Continue straight, Distance: 129.6 meters, Time: 93.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 67.6 meters, Time: 48.7 seconds
Name: Kameruka Road, Instruction: Turn sharp left onto Kameruka Road, Distance: 1190.9 meters, Time: 857.4 seconds
Name: Neeworra Road, Instruction: Turn sharp left onto Neeworra Road, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 373.6 meters, Time: 269.0 seconds
Name: Dalmeny Road, Instruction: Turn right onto Dalmeny Road, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Arrive at Dalmeny Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
