Name: Pepler Avenue, Instruction: Head north on Pepler Avenue, Distance: 300.0 meters, Time: 216.0 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn slight left, Distance: 91.7 meters, Time: 66.0 seconds
Name: -, Instruction: Keep left, Distance: 40.2 meters, Time: 28.9 seconds
Name: -, Instruction: Keep left, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 23.5 meters, Time: 16.9 seconds
Name: -, Instruction: Turn left, Distance: 472.2 meters, Time: 340.0 seconds
Name: -, Instruction: Keep right, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Keep left, Distance: 234.5 meters, Time: 168.8 seconds
Name: -, Instruction: Keep right, Distance: 60.1 meters, Time: 43.3 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Keep right, Distance: 197.8 meters, Time: 142.4 seconds
Name: -, Instruction: Turn right, Distance: 150.8 meters, Time: 108.6 seconds
Name: Milepost Place, Instruction: Turn left onto Milepost Place, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn right, Distance: 100.9 meters, Time: 72.7 seconds
Name: -, Instruction: Turn left, Distance: 135.2 meters, Time: 97.3 seconds
Name: -, Instruction: Turn slight right, Distance: 250.9 meters, Time: 180.6 seconds
Name: -, Instruction: Turn right, Distance: 89.9 meters, Time: 64.7 seconds
Name: -, Instruction: Turn left, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
