Name: شارع عبد الحليم عبد الكريم, Instruction: Head northeast on شارع عبد الحليم عبد الكريم, Distance: 300.3 meters, Time: 216.2 seconds
Name: شارع الشعراوي, Instruction: Turn right onto شارع الشعراوي, Distance: 407.2 meters, Time: 293.2 seconds
Name: شارع عبد النبي, Instruction: Turn right onto شارع عبد النبي, Distance: 79.3 meters, Time: 57.1 seconds
Name: -, Instruction: Turn left, Distance: 56.3 meters, Time: 40.5 seconds
Name: -, Instruction: Turn right, Distance: 77.7 meters, Time: 55.9 seconds
Name: -, Instruction: Turn left, Distance: 11.2 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 208.5 meters, Time: 150.1 seconds
Name: -, Instruction: Turn right, Distance: 64.9 meters, Time: 46.7 seconds
Name: -, Instruction: Turn left, Distance: 47.7 meters, Time: 34.3 seconds
Name: شارع روماني بشير, Instruction: Turn right onto شارع روماني بشير, Distance: 193.6 meters, Time: 139.4 seconds
Name: -, Instruction: Arrive at شارع روماني بشير, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
