Name: Dick Johnson Drive, Instruction: Head west on Dick Johnson Drive, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn left, Distance: 474.4 meters, Time: 341.6 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 25.6 meters, Time: 18.5 seconds
Name: -, Instruction: Turn left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 50.3 meters, Time: 36.2 seconds
Name: -, Instruction: Turn right, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 135.2 meters, Time: 97.3 seconds
Name: -, Instruction: Turn left, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 62.1 meters, Time: 44.7 seconds
Name: -, Instruction: Turn left, Distance: 235.4 meters, Time: 169.5 seconds
Name: -, Instruction: Turn left, Distance: 372.2 meters, Time: 268.0 seconds
Name: -, Instruction: Turn right, Distance: 28.3 meters, Time: 20.4 seconds
Name: -, Instruction: Turn left, Distance: 306.0 meters, Time: 220.3 seconds
Name: -, Instruction: Turn right, Distance: 128.1 meters, Time: 92.2 seconds
Name: -, Instruction: Turn right, Distance: 20.1 meters, Time: 14.5 seconds
Name: -, Instruction: Keep left, Distance: 105.2 meters, Time: 75.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 38.8 meters, Time: 28.0 seconds
Name: -, Instruction: Turn right, Distance: 19.2 meters, Time: 13.9 seconds
Name: Harvey Street, Instruction: Turn right onto Harvey Street, Distance: 144.6 meters, Time: 104.1 seconds
Name: Harvey Street, Instruction: Keep right onto Harvey Street, Distance: 26.2 meters, Time: 18.8 seconds
Name: -, Instruction: Arrive at Harvey Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
