Name: Rue René Alazard, Instruction: Head northwest on Rue René Alazard, Distance: 165.5 meters, Time: 119.2 seconds
Name: Rue Jules David, Instruction: Turn left onto Rue Jules David, Distance: 186.8 meters, Time: 134.5 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 313.7 meters, Time: 225.9 seconds
Name: -, Instruction: Turn right, Distance: 20.5 meters, Time: 14.7 seconds
Name: -, Instruction: Turn slight left, Distance: 90.5 meters, Time: 65.2 seconds
Name: -, Instruction: Turn left, Distance: 60.4 meters, Time: 43.5 seconds
Name: -, Instruction: Turn left, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn right, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Turn slight right, Distance: 29.0 meters, Time: 20.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 49.3 meters, Time: 35.5 seconds
Name: -, Instruction: Turn left, Distance: 11.9 meters, Time: 8.5 seconds
Name: -, Instruction: Keep right, Distance: 35.9 meters, Time: 25.9 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 35.1 meters, Time: 25.3 seconds
Name: -, Instruction: Turn right, Distance: 84.5 meters, Time: 60.9 seconds
Name: -, Instruction: Keep right, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Keep right, Distance: 293.4 meters, Time: 211.3 seconds
Name: -, Instruction: Keep right, Distance: 20.6 meters, Time: 14.8 seconds
Name: Rue des Bois, Instruction: Turn left onto Rue des Bois, Distance: 4.4 meters, Time: 3.1 seconds
Name: Rue des Bois, Instruction: Continue straight onto Rue des Bois, Distance: 239.9 meters, Time: 172.7 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 14.8 meters, Time: 10.6 seconds
Name: -, Instruction: Turn left, Distance: 129.8 meters, Time: 93.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
