Name: Rue Monticelli, Instruction: Head north on Rue Monticelli, Distance: 83.6 meters, Time: 60.2 seconds
Name: -, Instruction: Turn right, Distance: 73.8 meters, Time: 53.1 seconds
Name: -, Instruction: Turn left, Distance: 36.6 meters, Time: 26.4 seconds
Name: -, Instruction: Keep left, Distance: 136.3 meters, Time: 98.1 seconds
Name: -, Instruction: Turn right, Distance: 10.1 meters, Time: 7.3 seconds
Name: Rue de la Tombe Issoire, Instruction: Turn left onto Rue de la Tombe Issoire, Distance: 138.2 meters, Time: 99.5 seconds
Name: Rue de la Tombe Issoire, Instruction: Continue straight onto Rue de la Tombe Issoire, Distance: 117.0 meters, Time: 84.2 seconds
Name: Rue de la Tombe Issoire, Instruction: Continue straight onto Rue de la Tombe Issoire, Distance: 29.0 meters, Time: 20.9 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 96.3 meters, Time: 69.3 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 96.6 meters, Time: 69.5 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Keep right, Distance: 221.1 meters, Time: 159.2 seconds
Name: -, Instruction: Turn slight right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn slight right, Distance: 17.6 meters, Time: 12.7 seconds
Name: Allée Samuel Beckett, Instruction: Continue straight onto Allée Samuel Beckett, Distance: 4.7 meters, Time: 3.4 seconds
Name: Allée Samuel Beckett, Instruction: Keep left onto Allée Samuel Beckett, Distance: 9.6 meters, Time: 6.9 seconds
Name: Rue Dareau, Instruction: Turn right onto Rue Dareau, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn slight right, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Keep left, Distance: 15.2 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 36.7 meters, Time: 26.5 seconds
Name: -, Instruction: Keep left, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Keep right, Distance: 247.1 meters, Time: 177.9 seconds
Name: -, Instruction: Keep right, Distance: 81.4 meters, Time: 58.6 seconds
Name: -, Instruction: Turn slight left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Keep right, Distance: 35.0 meters, Time: 25.2 seconds
Name: -, Instruction: Keep left, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Keep left, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 52.9 meters, Time: 38.1 seconds
Name: -, Instruction: Turn right, Distance: 386.1 meters, Time: 278.0 seconds
Name: -, Instruction: Turn right, Distance: 144.2 meters, Time: 103.8 seconds
Name: -, Instruction: Turn left, Distance: 98.1 meters, Time: 70.7 seconds
Name: -, Instruction: Turn right, Distance: 20.9 meters, Time: 15.0 seconds
Name: -, Instruction: Turn left, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
