Name: Warner Road, Instruction: Head northeast on Warner Road, Distance: 68.7 meters, Time: 49.5 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn slight right, Distance: 140.0 meters, Time: 100.8 seconds
Name: -, Instruction: Keep right, Distance: 471.1 meters, Time: 339.2 seconds
Name: -, Instruction: Keep right, Distance: 162.8 meters, Time: 117.2 seconds
Name: -, Instruction: Turn right, Distance: 388.4 meters, Time: 279.7 seconds
Name: -, Instruction: Turn right, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn slight left, Distance: 5.8 meters, Time: 4.2 seconds
Name: Bolton Crescent, Instruction: Turn right onto Bolton Crescent, Distance: 201.2 meters, Time: 144.9 seconds
Name: -, Instruction: Turn left, Distance: 44.5 meters, Time: 32.0 seconds
Name: -, Instruction: Turn left, Distance: 24.4 meters, Time: 17.6 seconds
Name: -, Instruction: Keep left, Distance: 62.9 meters, Time: 45.3 seconds
Name: -, Instruction: Turn right, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
