Name: West 24th Avenue, Instruction: Head east on West 24th Avenue, Distance: 49.9 meters, Time: 35.9 seconds
Name: -, Instruction: Turn right, Distance: 191.0 meters, Time: 137.5 seconds
Name: -, Instruction: Turn left, Distance: 48.8 meters, Time: 35.2 seconds
Name: Depew Street, Instruction: Turn right onto Depew Street, Distance: 197.5 meters, Time: 142.2 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 193.9 meters, Time: 139.6 seconds
Name: -, Instruction: Turn right, Distance: 79.7 meters, Time: 57.4 seconds
Name: -, Instruction: Turn left, Distance: 116.5 meters, Time: 83.9 seconds
Name: -, Instruction: Turn right, Distance: 38.5 meters, Time: 27.7 seconds
Name: -, Instruction: Turn left, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Keep left, Distance: 36.5 meters, Time: 26.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
