Name: Impasse du Cadran, Instruction: Head south on Impasse du Cadran, Distance: 32.5 meters, Time: 23.4 seconds
Name: -, Instruction: Turn right, Distance: 27.8 meters, Time: 20.0 seconds
Name: Rue Seveste, Instruction: Turn right onto Rue Seveste, Distance: 155.9 meters, Time: 112.3 seconds
Name: -, Instruction: Keep right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 108.4 meters, Time: 78.0 seconds
Name: Place Suzanne Valadon, Instruction: Turn sharp right onto Place Suzanne Valadon, Distance: 44.6 meters, Time: 32.1 seconds
Name: Rue Foyatier, Instruction: Continue straight onto Rue Foyatier, Distance: 10.7 meters, Time: 7.7 seconds
Name: Rue André Barsacq, Instruction: Turn left onto Rue André Barsacq, Distance: 321.2 meters, Time: 231.3 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 28.1 meters, Time: 20.3 seconds
Name: -, Instruction: Keep right, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
