Name: شارع عباس العقاد, Instruction: Head north on شارع عباس العقاد, Distance: 75.2 meters, Time: 54.1 seconds
Name: -, Instruction: Turn left, Distance: 81.7 meters, Time: 58.8 seconds
Name: شارع محمد مصطفى حمام, Instruction: Turn right onto شارع محمد مصطفى حمام, Distance: 59.5 meters, Time: 42.8 seconds
Name: شارع الازهار, Instruction: Turn left onto شارع الازهار, Distance: 128.4 meters, Time: 92.5 seconds
Name: -, Instruction: Turn left, Distance: 46.9 meters, Time: 33.8 seconds
Name: شارع نصر احمد ذكى, Instruction: Turn right onto شارع نصر احمد ذكى, Distance: 102.9 meters, Time: 74.1 seconds
Name: شارع محمد طلعت سالم, Instruction: Turn left onto شارع محمد طلعت سالم, Distance: 362.8 meters, Time: 261.2 seconds
Name: شارع مصطفى رياض, Instruction: Turn right onto شارع مصطفى رياض, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 35.2 meters, Time: 25.3 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 30.9 meters, Time: 22.2 seconds
Name: -, Instruction: Turn left, Distance: 51.3 meters, Time: 36.9 seconds
Name: شارع ذكى حسن, Instruction: Turn right onto شارع ذكى حسن, Distance: 217.3 meters, Time: 156.5 seconds
Name: شارع الدكتور انور المفتي, Instruction: Turn left onto شارع الدكتور انور المفتي, Distance: 122.3 meters, Time: 88.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 14.5 meters, Time: 10.4 seconds
Name: شارع الدكتور انور المفتي, Instruction: Turn left onto شارع الدكتور انور المفتي, Distance: 106.4 meters, Time: 76.6 seconds
Name: -, Instruction: Turn right, Distance: 135.8 meters, Time: 97.8 seconds
Name: طريق النصر, Instruction: Turn left onto طريق النصر, Distance: 272.7 meters, Time: 196.3 seconds
Name: -, Instruction: Keep left, Distance: 186.4 meters, Time: 134.2 seconds
Name: شارع فؤاد عبد الحكيم الجمال, Instruction: Turn right onto شارع فؤاد عبد الحكيم الجمال, Distance: 2.7 meters, Time: 1.9 seconds
Name: شارع فؤاد عبد الحكيم الجمال, Instruction: Continue straight onto شارع فؤاد عبد الحكيم الجمال, Distance: 187.0 meters, Time: 134.6 seconds
Name: شارع يوسف عباس, Instruction: Turn right onto شارع يوسف عباس, Distance: 111.1 meters, Time: 80.0 seconds
Name: -, Instruction: Turn left, Distance: 58.0 meters, Time: 41.8 seconds
Name: شارع يوسف عباس, Instruction: Turn left onto شارع يوسف عباس, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Keep right, Distance: 103.7 meters, Time: 74.7 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
