Name: Kent Street, Instruction: Head south on Kent Street, Distance: 36.1 meters, Time: 26.0 seconds
Name: -, Instruction: Turn left, Distance: 130.6 meters, Time: 94.1 seconds
Name: -, Instruction: Keep left, Distance: 67.5 meters, Time: 48.6 seconds
Name: -, Instruction: Keep right, Distance: 151.0 meters, Time: 108.7 seconds
Name: -, Instruction: Turn right, Distance: 41.9 meters, Time: 30.2 seconds
Name: -, Instruction: Keep right, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn slight left, Distance: 121.5 meters, Time: 87.4 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 60.7 meters, Time: 43.7 seconds
Name: Beecroft Road, Instruction: Turn right onto Beecroft Road, Distance: 28.4 meters, Time: 20.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 7.5 meters, Time: 5.4 seconds
Name: Footbridge, Instruction: Turn left onto Footbridge, Distance: 70.7 meters, Time: 50.9 seconds
Name: Langston Place, Instruction: Turn right onto Langston Place, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 119.6 meters, Time: 86.1 seconds
Name: Chambers Court, Instruction: Turn left onto Chambers Court, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Arrive at Chambers Court, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
