Name: Rua São Gonçalo do Amarante, Instruction: Head southwest on Rua São Gonçalo do Amarante, Distance: 166.7 meters, Time: 120.0 seconds
Name: Estrada de Camorim, Instruction: Turn left onto Estrada de Camorim, Distance: 157.1 meters, Time: 113.1 seconds
Name: Rua Godofredo Marques, Instruction: Turn right onto Rua Godofredo Marques, Distance: 946.9 meters, Time: 681.7 seconds
Name: Estrada dos Bandeirantes, Instruction: Turn left onto Estrada dos Bandeirantes, Distance: 73.3 meters, Time: 52.7 seconds
Name: -, Instruction: Keep left, Distance: 45.7 meters, Time: 32.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn slight left, Distance: 18.4 meters, Time: 13.2 seconds
Name: Estrada dos Bandeirantes, Instruction: Turn left onto Estrada dos Bandeirantes, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 92.0 meters, Time: 66.2 seconds
Name: -, Instruction: Turn left, Distance: 64.7 meters, Time: 46.6 seconds
Name: -, Instruction: Turn right, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn right, Distance: 125.3 meters, Time: 90.3 seconds
Name: -, Instruction: Turn left, Distance: 120.2 meters, Time: 86.6 seconds
Name: -, Instruction: Turn right, Distance: 58.6 meters, Time: 42.2 seconds
Name: Rua Abrahão Jabour, Instruction: Turn left onto Rua Abrahão Jabour, Distance: 72.1 meters, Time: 51.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 21.9 meters, Time: 15.8 seconds
Name: -, Instruction: Keep left, Distance: 132.4 meters, Time: 95.3 seconds
Name: -, Instruction: Turn left, Distance: 147.1 meters, Time: 105.9 seconds
Name: -, Instruction: Turn right, Distance: 70.7 meters, Time: 50.9 seconds
Name: -, Instruction: Turn left, Distance: 54.3 meters, Time: 39.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
